Name,Born,Died,Cause of death,Nicknames,Motive,Conviction,Criminal Penalty,Criminal Status,Victims,Span of Crimes,Country,State(s),Date Apprehended
Ali Asghar Borujerdi,"Ali Asghar Borujerdi1893Borujerd, Iran","July 6, 1934(1934-07-06) (aged 40–41)Toopkhaneh, Tehran, Iran",Unknown,Asghar-e Qatil (Asghar the Murderer),Unknown,Murder and rape,Unknown,Unknown,33 confirmed,Unknown,Iran and Iraq,Unknown,January 1934
Vasili Komaroff,"Vasily Terentyevich Petrov1 January 1871Vitebsk Governorate, Russian Empire","18 June 1923 (aged 52)Moscow, Russian SFSR, Soviet Union",Unknown,The Wolf of MoscowThe Shabolovka Street Killer,Unknown,Murder,Unknown,Unknown,33 known,1921–1923,Soviet Union,Unknown,Unknown
Ramadan Abdel Rehim Mansour,"c. 1980Tanta, Gharbia, Egypt","December 16, 2010 (aged 30)Burj Al Arab Prison, Egypt",Unknown,Al-Tourbini (التوربيني‎),Unknown,Murder,Unknown,Unknown,32+,2004–2006,Egypt,Unknown,Unknown
Radik Tagirov,"May 1982 (age 42)Kazan, Tatar Autonomous Soviet Socialist Republic, Soviet Union",Unknown,Unknown,"""The Volga Maniac""",Robbery,Murder x31Attempted murder x3Assault x34,Unknown,Unknown,31,2011–2012,Russia,"Tatarstan, Ulyanovsk, Nizhny Novgorod, Udmurtia, Perm, Samara, Bashkortostan","December 1, 2020"
Karl Denke,"11 February 1860Oberkunzendorf, Silesia, Prussia(now Kalinowice Górne, Poland)","22 December 1924 (aged 64)Münsterberg, Lower Silesia, Prussia, Weimar Republic(now Ziębice, Poland)",Unknown,Father DenkePapa DenkeThe Cannibal of MünsterbergThe Forgotten Cannibal,Unknown,Unknown,Unknown,Unknown,30–42+,21 February 1903 – 20 December 1924,"German Empire, Weimar Republic",Unknown,20 December 1924
Francisco das Chagas Rodrigues de Brito,"1964 (age 59–60)Caxias, state of Maranhão, Brazil",Unknown,Unknown,Unknown,Unknown,"Doubly qualified homicide, abuse against dead bodies, concealment of corpses [1]",Unknown,Unknown,30–42,Unknown,Brazil,"Maranhão, Pará",December 2003
Monster of the Mangones,Unknown,Unknown,Unknown,'The Cali Vampire',Unknown,Unknown,Unknown,Unknown,30–38,1963–1970s,Colombia,Valle del Cauca,Never apprehended
Milton Sipalo,Unknown,"19 September 1980Lusaka Central Police Station, Lusaka, Zambia",Unknown,"""The Lusaka Strangler""",Unknown,Unknown,Unknown,Unknown,"30 killed (including an unborn child)
2 survived",Unknown,Zambia,Lusaka,16 September 1980
Luis Gregorio Ramírez Maestre,"Luis Gregorio Ramirez Maestre (1980-09-30) September 30, 1980 (age 44)Valledupar, Colombia",Unknown,Unknown,"""The Monster of Tenerife""",Unknown,Murder,Unknown,Unknown,30,2010–2012,Colombia,Unknown,2012
David Thabo Simelane,1956 (age 67–68)Swaziland (Eswatini),Unknown,Unknown,David Albert Mhlanga,Unknown,Murder,Unknown,Unknown,"28 confirmed, 45 suspected",2000–2001,Swaziland (Eswatini),Manzini District,Unknown
Zhang Jun,"(1966-08-05)August 5, 1966Hualin Village, Hunan, China","May 20, 2001(2001-05-20) (aged 34)Chongqing, China",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,28,1993–2000,China,"Chongqing, Hunan, Hubei, Yunnan, Guangxi","September 19, 2000"
Mariam Soulakiotis,"Marina Soulakiotou[3]: 360 [c]c. 1883 (1883)[note 3]№71 Megalou Alexandrou,[3]: 360 [d] Keratea, Greece",23 November 1954 (aged 71)[note 4]Averoff Prison [el],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,27[note 1]–177[note 2][2],Unknown,Unknown,Unknown,5 December 1950
Cedric Maake,Maoupa Cedric MaakeSouth Africa,Unknown,Unknown,The Wemmer Pan Killer,Unknown,Unknown,Unknown,Unknown,27+,1996–1997,South Africa,Gauteng,December 1997
Robert Pickton,"Robert William Pickton(1949-10-24)October 24, 1949Port Coquitlam, British Columbia, Canada","May 31, 2024(2024-05-31) (aged 74)Quebec City, Quebec, Canada",Unknown,Unknown,Unknown,Second-degree murder (×6),Unknown,Unknown,6 convicted 27 charged 49 confessed,1978–2001,Canada,Unknown,"February 22, 2002"
Bruce George Peter Lee,"Peter George Dinsdale (1960-07-31) 31 July 1960 (age 64)Manchester, England",Unknown,Unknown,Unknown,Unknown,ManslaughterArson,Unknown,Unknown,12,1973–1979,England,Unknown,4 December 1979
The Stoneman,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,36-37,1983–2011,India,"Maharashtra,West Bengal,Assam",Unknown
Juan Corona,"Juan Corona Vallejo(1934-02-07)February 7, 1934San Antonio de los Moran, Ayutla, Jalisco, Mexico","March 4, 2019(2019-03-04) (aged 85)California State Prison, Corcoran, Corcoran, California, U.S.",Unknown,Corona,Unknown,First-degree murder (25 counts),Unknown,Unknown,25,"February 1 – May 21, 1971",United States,California,"May 26, 1971"
Fritz Haarmann,"Friedrich Heinrich Karl Haarmann25 October 1879Hanover, German Empire","15 April 1925(1925-04-15) (aged 45)Hanover Prison, Hanover, Weimar Republic",Unknown,The Butcher of HanoverThe Wolf ManThe Vampire of Hanover,Unknown,Murder (24 counts),Unknown,Unknown,24–27+,25 September 1918  –  14 June 1924,Germany,"Province of Hanover, Prussia",22 June 1924
Béla Kiss,"Kiss Bélac. 1877Izsák, Austria-Hungary",After 4 October 1916,Unknown,Unknown,Unknown,Never convicted,Unknown,Unknown,24+,1900–1914,Hungary,Unknown,Never apprehended
Majid Salek Mohammadi,"c. 1953Tabriz, Iran","May 8, 1986 (aged 33)Qasr Prison, Iran",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,At least 24,1981–1985,Iran,Unknown,Unknown
Yvan Keller,"(1960-12-13)13 December 1960Wittenheim, Haut-Rhin, France","22 September 2006(2006-09-22) (aged 45)Mulhouse, France",Unknown,"""The Pillow Killer""",Unknown,Unknown,Unknown,Unknown,23–150,1989–2006,"France (proven)Switzerland, Germany (confessed)",Alsace,September 2006
Ronald Dominique,"Ronald Joseph Dominique (1964-01-09) January 9, 1964 (age 60)Thibodaux, Louisiana, U.S.",Unknown,Unknown,"""The Bayou Strangler""",Unknown,Unknown,Unknown,Unknown,23+,1997–2006,United States,Louisiana,"December 1, 2006"
Juan Fernando Hermosa,"Juan Fernando Hermosa Suárez(1976-02-28)February 28, 1976Clemente Baquerizo, Los Ríos Province, Ecuador","February 28, 1996(1996-02-28) (aged 20)Nueva Loja, Sucumbíos Province, Ecuador",Unknown,"""Niño del Terror-Child of Terror""",Unknown,Murder,Unknown,Unknown,22,1991–1992,Ecuador,Pichincha,"January 9, 1992"
Gerald Stano,"Paul Zeininger(1951-09-12)September 12, 1951Schenectady, New York, U.S.","March 23, 1998(1998-03-23) (aged 46)Florida State Prison, U.S.",Unknown,Unknown,Unknown,First degree murder (9 counts),Unknown,Unknown,23 confirmed 41 claimed  88 suspected,1969–1980,United States,"Florida, New Jersey, Pennsylvania","April 1, 1980"
Earle Nelson,"Earle Leonard FerralMay 12, 1897San Francisco, California, U.S.","January 13, 1928 (aged 30)Vaughan Street Jail, Winnipeg, Manitoba, Canada",Unknown,"The Dark Strangler
The Gorilla Man
Charles Harrison
Adrian Harris[1]
Virgil Wilson",Unknown,MurderAttempted molestationBreaking and entering,Unknown,Unknown,22–29,"February 20, 1926 – June 9, 1927",United States and Canada,CaliforniaOregonWashingtonIowaMissouriPennsylvaniaNew YorkMichiganIllinoisManitoba,"June 16, 1927"
Mikhail Novosyolov,"Mikhail NovosyolovSarapul, Udmurt ASSR, RSFSR",Unknown,Unknown,"""The Necrophile Rebel""",Unknown,Murder,Unknown,Unknown,22,1977–1995,"Soviet Union, later Russia and Tajikistan",Unknown,1995
Manuel Octavio Bermúdez,"Manuel Octavio Bermúdez Estrada(1961-10-15)15 October 1961Trujillo, Valle del Cauca, Colombia","17 October 2024(2024-10-17) (aged 63)Cauca Department, Colombia",Unknown,The Monster of the Cane Fields,Unknown,MurderRape,Unknown,Unknown,21–50+,1999–2003,Colombia,Unknown,18 July 2003
Patrick Kearney,"Patrick Wayne Kearney (1939-09-24) September 24, 1939 (age 85)East Los Angeles, California",Unknown,Unknown,The Trash Bag KillerThe Freeway Killer,Unknown,"First degree murder (21 counts), Necrophilia (10+ counts)",Unknown,Unknown,21–43,"1962 – March 13, 1977",United States,California,"July 1, 1977"
William Bonin,"William George Bonin(1947-01-08)January 8, 1947Willimantic, Connecticut, U.S.","February 23, 1996(1996-02-23) (aged 49)San Quentin State Prison, California, U.S.",Unknown,The Freeway KillerThe Freeway Strangler,Unknown,First degree murder with special circumstances (x14)Robbery (x3)Sodomy[1],Unknown,Unknown,"Murder: 14 convicted, 21 confessed to, 22–36+ suspected","November 1968 – June 2, 1980",United States,California,"June 11, 1980"
Vasile Tcaciuc,"c. 1900Bessarabia Governorate, Russian Empire","(1935-10-17)17 October 1935Iași, Kingdom of Romania",Unknown,The Butcher of Iași,Robbery,Unknown,Unknown,Unknown,21–26+,1917–1935,Romania,Unknown,Unknown
Yoo Young-chul,"(1970-04-18) 18 April 1970 (age 54)Gochang County, South Korea",Unknown,Unknown,Raincoat Killer (레인 코트 킬러),Resentment towards the rich and women,Unknown,Unknown,Unknown,Unknown,2003–2004,South Korea,Unknown,15 July 2004
Francisco Guerrero Pérez,"1840The Bajío, Mexico","November 1910 (age 70)Palacio de Lecumberri, Mexico City, Mexico",Unknown,"""El Chalequero""""The Mexican Bluebeard""""The Consulado River Strangler""""The Consulado River Ripper""""The Mexican Ripper""",Unknown,Unknown,Unknown,Unknown,21,1880–1908,Mexico,Mexico City,1888 and 1908
Ted Bundy,"Theodore Robert Cowell(1946-11-24)November 24, 1946Burlington, Vermont, U.S.","January 24, 1989(1989-01-24) (aged 42)Florida State Prison, Raiford, Florida, U.S.",Unknown,Chris HagenKenneth MisnerOfficer RoselandRichard BurtonRolf Miller[3],ControlPossessionNecrophilia,"First-degree murder (×3)
Attempted first-degree murder (×3)
Aggravated kidnapping
Burglary",Unknown,Unknown,20 confirmed30 confessed36+ suspected,1974–1978,United States,CaliforniaColoradoFloridaIdahoOregonUtahWashington,"August 16, 1975"
Abdullah Shah,1965 (1965),"20 April 2004(2004-04-20) (aged 38–39)Kabul, Afghanistan",Unknown,Zardad's dog,Unknown,Murder (20 counts),Unknown,Unknown,20+,Unknown,Afghanistan,Unknown,Unknown
Mohan Kumar,"1963 (age 60–61)Karnataka, India",Unknown,Unknown,Cyanide MohanAnandaBhaskara[1]Bhaskar[2],Unknown,Unknown,Unknown,Unknown,20,2005–2009,India,Unknown,21 October 2009
Bulelani Mabhayi,1974 (age 49–50)South Africa,Unknown,Unknown,"""The Monster of Tholeni""",Unknown,Murder,Unknown,Unknown,20,2007–2012,South Africa,Eastern Cape,Unknown
Larry Eyler,"Larry William Eyler(1952-12-21)December 21, 1952Crawfordsville, Indiana, U.S.","March 6, 1994(1994-03-06) (aged 41)Pontiac Correctional Center, Pontiac, Illinois, U.S.",Unknown,The Highway KillerThe Interstate Killer,Rage[1],IllinoisMurderAggravated kidnappingConcealment of a homicidal deathIndianaMurder[2],Unknown,Unknown,21+[4],"October 23, 1982 – August 19, 1984[5]",United States,IllinoisIndianaKentucky (alleged)Wisconsin (alleged),"August 21, 1984"
Cape Town Prostitute Killer,Unknown,Unknown,Unknown,"""The Cape Town Strangler""[1]",Unknown,Unknown,Unknown,Unknown,19,1992–1996,South Africa,Western Cape,N/A
El Psicópata,Unknown,Unknown,Unknown,The PsychopathThe Psycho,Unknown,Unknown,Unknown,Unknown,19+,1986–1996,Costa Rica,Unknown,Never captured
Sergei Ryakhovsky,"Sergei Vasilyevich Ryakhovsky(1962-12-29)29 December 1962Balashikha, Moscow Oblast, Soviet Union","12 November 2007(2007-11-12) (aged 44)Mordovian Zone, Sosnovka, Mordovia, Russia",Unknown,The Balashikha Ripper  The Hippopotamus,Unknown,Murder,Unknown,Unknown,19–24,1988–1993,"Soviet Union, Russia",Unknown,13 April 1993
Yevgeny Chuplinsky,"Yevgeny Alexandrovich Chuplinsky (1965-03-14) 14 March 1965 (age 59)Novosibirsk, Novosibirsk Oblast, RSFSR",Unknown,Unknown,"See aliases
""The Maniac of Novosibirsk""""The Novosibirsk Maniac""""The Novosibirsk Ripper""""The Policeman Maniac""""The Policeman Ripper""""The Satanist Maniac""""The Occult Maniac""""The Siberian Monster""""The Siberian Ripper""""The Siberian Chikatilo""""Chupa-Chups""",Unknown,Murder × 19,Unknown,Unknown,19–29,1998–2005,Russia,Novosibirsk,23 April 2016
M. Jaishankar,"1977 (1977)Kanniyanpatti, Tamil Nadu, India","27 February 2018(2018-02-27) (aged 40–41)Bangalore, Karnataka, India",Unknown,"""Psycho Shankar""",Unknown,"Murder, rape",Unknown,Unknown,19+,2008–2011,India,"Tamil Nadu, Karnataka",September 2009
Ansis Kaupēns,"Ansis Alberts Kaupēns(1895-11-02)2 November 1895Platone Parish, Courland Governorate, Russian Empire","6 May 1927(1927-05-06) (aged 31)Vircava Parish, Latvia",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,19,1920–1926,Latvia,Unknown,8 June 1926
Vadim Ershov,"Vadim Nikolayevich Ershov (1973-02-15) 15 February 1973 (age 51)Rechnoy, Kirov Oblast, RSFSR",Unknown,Unknown,The Krasnoyrask BeastThe Krasnoyarsk ChikatiloThe Maniac with a Diary,Unknown,Murder,Unknown,Unknown,19,1992–1995,Russia,Krasnoyarsk,29 October 1995
Velaphi Ndlangamandla,c. 1966,Unknown,Unknown,"""The Saloon Killer""",Unknown,Murder,Unknown,Unknown,19,April – September 1998,South Africa,Mpumalanga,10 September 1998
Valery Kopytov,"Valery Kopytov1971 (age 52–53)Barnaul, RSFSR, Soviet Union",Unknown,Unknown,Barnaul Chikatilo,Unknown,Murder x19Robbery,Unknown,Unknown,19,2000–2004,Russia,Altai,2005
Randall Woodfield,"Randall Brent Woodfield (1950-12-26) December 26, 1950 (age 73)Salem, Oregon, U.S.",Unknown,Unknown,The I-5 BanditThe I-5 Killer,Unknown,MurderAttempted murderSecond-degree robberySodomySexual assault,Unknown,Unknown,"1 convicted, linked to 18, suspected to be involved in 44","October 9, 1980 – February 15, 1981",United States,"Oregon, California","March 7, 1981"
Yavuz Yapıcıoğlu,"1967 (age 56–57)Adana, Turkey",Unknown,Unknown,The Screwdriver KillerThe Beast,Unknown,Unknown,Unknown,Unknown,18–40,1994–2002,Unknown,Unknown,2002
Paul John Knowles,"(1946-04-25)April 25, 1946Orlando, Florida, United States","December 18, 1974(1974-12-18) (aged 28)Georgia, United States",Unknown,The Casanova Killer,Unknown,Unknown,Unknown,Unknown,18–35+,"July 26, 1974 – November 16, 1974",United States,"Florida, Ohio, Nevada, Texas, Alabama, Virginia, Georgia, Connecticut","November 17, 1974"
Thierry Paulin,"(1963-11-28)28 November 1963Fort-de-France, Martinique","16 April 1989(1989-04-16) (aged 25)Fresnes Prison, Fresnes, France",Unknown,"""The Monster of Montmartre""""The Grim Reaper of Paris""""The Beast of Montmartre""""The Old Lady Killer""",Unknown,Died before trial,Unknown,Unknown,18–21,1984–1987,France,Île-de-France,1 December 1987
Richard Nyauza,1970 (age 53–54),Unknown,Unknown,Unknown,Unknown,"Murder (x16)
Attempted murder
Rape (x4)
Robbery (x3)",Unknown,Unknown,"18–19 killed (including two unborn children)
2 survived",2002–2006,South Africa,Unknown,September 2006
Umesh Reddy,"BA Umesh1969 (age 54–55)Basappa Malige, Karnataka, India",Unknown,Unknown,"Rajulu, Ramesh, Venkatesh",Unknown,MurderRape,Unknown,Unknown,18+,1996–2002,India,"Karnataka, Maharashtra, Gujarat",Unknown
Christopher Mhlengwa Zikode,"Christopher Mhlengwa ZikodeDonnybrook, South Africa",Unknown,Unknown,Donnybrook Serial Killer,Unknown,Unknown,Unknown,Unknown,18,1994–1995,South Africa,KwaZulu-Natal,29 September 1995
Kotakethana murders,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18,2008–2015,Unknown,Sri Lanka,Unknown
Asande Baninzi,1983 (age 40–41)South Africa,Unknown,Unknown,Unknown,Unknown,"Murder, rape, armed robbery",Unknown,Unknown,14–18,June – August 2001,South Africa,"Cape Flats, Cape Province",Unknown
Vladimir Mirgorod,"Vladimir Viktorovich Mirgorod (1979-11-01) 1 November 1979 (age 45)Moscow, RSFSR",Unknown,Unknown,"""The Strangler""""The Neat Maniac""",Unknown,Murder,Unknown,Unknown,18,2002–2004,Russia,Moscow,2010
Richard Cottingham,"Richard Francis Cottingham (1946-11-25) November 25, 1946 (age 77)New York, New York, U.S.",Unknown,Unknown,Torso Killer  Times Square Ripper,Unknown,Unknown,Unknown,Unknown,18–19+,1967–1980,United States,New YorkNew Jersey,"May 22, 1980"
Huang Yong,"Huang Yong(1974-11-18)November 18, 1974Henan, China","December 26, 2003(2003-12-26) (aged 29)Henan, China",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,17–25,September 2001 – November 2003,China,Henan,12 November 2003
Pedro Pablo Nakada Ludeña,"Pedro Pablo Mesías Ludeña (1973-02-28) February 28, 1973 (age 51)Lima, Peru",Unknown,Unknown,The Apostle of Death,Unknown,Murder,Unknown,Unknown,17–25,"January 1, 2005 – December 27, 2006",Peru,Unknown,"December 28, 2006"
Darbara Singh,"Darbara Singh1942/1943 or 1960/1961Jallupur Khera, Amritsar district, India","6 June 2018Patiala, Punjab, India",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"2 confirmed, 17–23 suspected",April – October 2004,India,Unknown,Unknown
